"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"/Users/thoulappea/Documents/picorca/picorca-extension/src/convert.ts", "TypeScript", 0, 16, 1, 1, 18
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/background/download.ts", "TypeScript", 0, -1, 0, 0, -1
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/Panel.tsx", "TypeScript JSX", 5, 0, 2, 1, 8
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/components/action.tsx", "TypeScript JSX", 1, 0, -1, 0, 0
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/components/image.tsx", "TypeScript JSX", 4, 0, 0, 0, 4
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/components/save-dialog.tsx", "TypeScript JSX", 51, 0, 6, 4, 61
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/inject/communicate.ts", "TypeScript", 0, 11, 1, 1, 13
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/inject/useUnmount.ts", "TypeScript", 0, 9, 1, 5, 15
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/inject/useZip.tsx", "TypeScript JSX", 32, 0, 10, 8, 50
"/Users/thoulappea/Documents/picorca/picorca-extension/src/pages/panel/inject/zip.tsx", "TypeScript JSX", -29, 0, 0, -6, -35
"/Users/thoulappea/Documents/picorca/picorca-extension/src/utils/fetch.ts", "TypeScript", 0, 2, 0, 0, 2
"/Users/thoulappea/Documents/picorca/picorca-extension/src/utils/port.ts", "TypeScript", 0, -1, 0, 0, -1
"/Users/thoulappea/Documents/picorca/picorca-extension/src/utils/size.ts", "TypeScript", 0, 4, 0, 0, 4
"/Users/thoulappea/Documents/picorca/picorca-extension/src/utils/worker-zip.ts", "TypeScript", 0, 0, 1, -1, 0
"Total", "-", 64, 40, 21, 13, 138
